month,pop,time,type
Dec,5515774.0,0,female
Dec,5510214.0,1,female
Dec,5506893.0,2,female
Dec,5504815.0,3,female
Dec,5505293.0,4,female
Dec,5509818.0,5,female
Dec,5523313.0,6,female
Dec,5578308.0,7,female
Dec,5668820.0,8,female
Dec,5744423.0,9,female
Dec,5798120.0,10,female
Dec,5835914.0,11,female
Dec,5864511.0,12,female
Dec,5885847.0,13,female
Dec,5894694.0,14,female
Dec,5890521.0,15,female
Dec,5873335.0,16,female
Dec,5851041.0,17,female
Dec,5803437.0,18,female
Dec,5738117.0,19,female
Dec,5690450.0,20,female
Dec,5644145.0,21,female
Dec,5589713.0,22,female
Dec,5527364.0,23,female
Dec,10806980.083333334,avg,total
Dec,5121149.041666662,avg,male
Dec,5685619.999999995,avg,female
Feb,10468960.0,0,total
Feb,10461880.0,1,total
Feb,10452801.0,2,total
Feb,10447180.0,3,total
Feb,10448584.0,4,total
Feb,10455368.0,5,total
Feb,10480247.0,6,total
Feb,10585421.0,7,total
Feb,10736086.0,8,total
Feb,10842637.0,9,total
Feb,10916537.0,10,total
Feb,10962963.0,11,total
Feb,11006715.0,12,total
Feb,11050684.0,13,total
Feb,11071293.0,14,total
Feb,11075496.0,15,total
Feb,11062487.0,16,total
Feb,11037862.0,17,total
Feb,10979893.0,18,total
Feb,10868709.0,19,total
Feb,10784074.0,20,total
Feb,10700747.0,21,total
Feb,10608743.0,22,total
Feb,10499837.0,23,total
Feb,4984066.0,0,male
Feb,4978728.0,1,male
Feb,4973245.0,2,male
Feb,4970045.0,3,male
Feb,4971664.0,4,male
Feb,4976484.0,5,male
Feb,4991914.0,6,male
Feb,5044152.0,7,male
Feb,5107644.0,8,male
Feb,5152029.0,9,male
Feb,5180700.0,10,male
Feb,5197311.0,11,male
Feb,5214517.0,12,male
Feb,5234328.0,13,male
Feb,5245019.0,14,male
Feb,5250686.0,15,male
Feb,5251207.0,16,male
Feb,5248418.0,17,male
Feb,5230303.0,18,male
Feb,5181802.0,19,male
Feb,5142027.0,20,male
Feb,5102576.0,21,male
Feb,5057136.0,22,male
Feb,5003250.0,23,male
Feb,5484677.0,0,female
Feb,5482930.0,1,female
Feb,5479342.0,2,female
Feb,5476915.0,3,female
Feb,5476717.0,4,female
Feb,5478686.0,5,female
Feb,5488144.0,6,female
Feb,5541080.0,7,female
Feb,5628221.0,8,female
Feb,5690401.0,9,female
Feb,5735642.0,10,female
Feb,5765440.0,11,female
Feb,5791998.0,12,female
Feb,5816155.0,13,female
Feb,5826074.0,14,female
Feb,5824595.0,15,female
Feb,5811071.0,16,female
Feb,5789215.0,17,female
Feb,5749377.0,18,female
Feb,5686696.0,19,female
Feb,5641839.0,20,female
Feb,5597957.0,21,female
Feb,5551395.0,22,female
Feb,5496360.0,23,female
