,adm_nm,adm_cd,adm_cd2,lng,lat
83,서울특별시 동대문구 청량리동,1106080,1123070500,127.0459443,37.58833707
84,서울특별시 동대문구 용신동,1106081,1123053600,127.0340419,37.57627204
85,서울특별시 동대문구 제기동,1106082,1123054500,127.0368028,37.5846658
86,서울특별시 동대문구 전농1동,1106083,1123056000,127.0501314,37.58031712
87,서울특별시 동대문구 전농2동,1106084,1123057000,127.0609815,37.58083975
88,서울특별시 동대문구 답십리2동,1106086,1123061000,127.0619277,37.56980929
89,서울특별시 동대문구 장안1동,1106087,1123065000,127.0681753,37.56640309
90,서울특별시 동대문구 장안2동,1106088,1123066000,127.0724794,37.57494967
91,서울특별시 동대문구 이문1동,1106089,1123074000,127.0609298,37.59750859
92,서울특별시 동대문구 이문2동,1106090,1123075000,127.066747,37.6035401
93,서울특별시 동대문구 답십리1동,1106091,1123060000,127.0499064,37.57056031
94,서울특별시 중랑구 면목2동,1107052,1126052000,127.0787442,37.58915971
95,서울특별시 중랑구 면목4동,1107054,1126054000,127.0870346,37.57347173
96,서울특별시 중랑구 면목5동,1107055,1126055000,127.0788808,37.58219788
97,서울특별시 중랑구 면목7동,1107057,1126057000,127.0911442,37.57612535
98,서울특별시 중랑구 상봉1동,1107059,1126058000,127.0880417,37.60245017
99,서울특별시 중랑구 상봉2동,1107060,1126059000,127.081777,37.59453772
100,서울특별시 중랑구 중화1동,1107061,1126060000,127.0829134,37.60262734
101,서울특별시 중랑구 중화2동,1107062,1126061000,127.0749794,37.59892385
102,서울특별시 중랑구 묵1동,1107064,1126062000,127.0831716,37.61277007
103,서울특별시 중랑구 묵2동,1107065,1126063000,127.0750693,37.61086732
104,서울특별시 중랑구 망우3동,1107068,1126066000,127.1027994,37.59152812
105,서울특별시 중랑구 신내1동,1107069,1126068000,127.1035648,37.61014822
106,서울특별시 중랑구 신내2동,1107070,1126069000,127.0906875,37.60901245
107,서울특별시 중랑구 면목본동,1107071,1126056500,127.0892054,37.58891916
108,서울특별시 중랑구 면목3·8동,1107072,1126057500,127.0967667,37.58474117
109,서울특별시 중랑구 망우본동,1107073,1126065500,127.105582,37.6025714
110,서울특별시 성북구 돈암1동,1108058,1129058000,127.0245014,37.59906371
111,서울특별시 성북구 돈암2동,1108059,1129059000,127.0126891,37.59679189
112,서울특별시 성북구 안암동,1108060,1129060000,127.0276365,37.58666324
113,서울특별시 성북구 보문동,1108061,1129061000,127.0195682,37.58310067
114,서울특별시 성북구 정릉1동,1108062,1129062000,127.0174755,37.60602422
115,서울특별시 성북구 정릉2동,1108063,1129063000,127.0074553,37.60414502
116,서울특별시 성북구 정릉3동,1108064,1129064000,126.9942919,37.61478331
117,서울특별시 성북구 정릉4동,1108065,1129065000,126.9951639,37.62233042
118,서울특별시 성북구 길음1동,1108066,1129066000,127.0201997,37.60826361
119,서울특별시 성북구 길음2동,1108068,1129068500,127.0272052,37.60787131
120,서울특별시 성북구 월곡1동,1108071,1129071500,127.0370049,37.60760266
121,서울특별시 성북구 월곡2동,1108072,1129072500,127.0446477,37.6036137
122,서울특별시 성북구 장위1동,1108076,1129076000,127.0437444,37.61559384
123,서울특별시 성북구 장위2동,1108077,1129077000,127.0530249,37.61265126
124,서울특별시 성북구 장위3동,1108078,1129078000,127.0538108,37.61838107
125,서울특별시 성북구 성북동,1108081,1129052500,126.997414,37.59533861
126,서울특별시 성북구 삼선동,1108082,1129055500,127.011564,37.58631579
127,서울특별시 성북구 동선동,1108083,1129057500,127.018269,37.59361985
128,서울특별시 성북구 종암동,1108084,1129070500,127.0328989,37.5975574
129,서울특별시 성북구 석관동,1108085,1129081000,127.0611427,37.60816063
130,서울특별시 강북구 번1동,1109060,1130559500,127.0308671,37.63838502
131,서울특별시 강북구 번2동,1109061,1130560300,127.0347293,37.62768313
132,서울특별시 강북구 번3동,1109062,1130560800,127.0433604,37.62346716
133,서울특별시 강북구 수유1동,1109063,1130561500,127.0083134,37.62954444
134,서울특별시 강북구 수유2동,1109064,1130562500,127.0195241,37.64496157
135,서울특별시 강북구 수유3동,1109065,1130563500,127.0238739,37.64107242
136,서울특별시 강북구 삼양동,1109069,1130553400,127.0135449,37.62445
137,서울특별시 강북구 미아동,1109070,1130553500,127.0268246,37.62895819
138,서울특별시 강북구 송중동,1109071,1130554500,127.0330066,37.61741525
139,서울특별시 강북구 송천동,1109072,1130555500,127.0241935,37.61822493
140,서울특별시 강북구 삼각산동,1109073,1130557500,127.0153865,37.61625875
141,서울특별시 강북구 우이동,1109074,1130564500,126.9989821,37.66196962
142,서울특별시 강북구 인수동,1109075,1130566000,127.0041041,37.63852964
143,서울특별시 도봉구 쌍문1동,1110051,1132066000,127.02061,37.65409629
144,서울특별시 도봉구 쌍문2동,1110052,1132067000,127.0375843,37.65644733
145,서울특별시 도봉구 쌍문3동,1110053,1132068000,127.0307416,37.64711478
146,서울특별시 도봉구 쌍문4동,1110054,1132068100,127.0299237,37.65539717
147,서울특별시 도봉구 방학1동,1110055,1132069000,127.0431166,37.66514414
148,서울특별시 도봉구 방학2동,1110056,1132070000,127.0313033,37.66855103
149,서울특별시 도봉구 방학3동,1110057,1132071000,127.0251587,37.66260823
150,서울특별시 도봉구 창1동,1110059,1132051100,127.0423575,37.64542489
151,서울특별시 도봉구 창2동,1110060,1132051200,127.0372426,37.64169585
152,서울특별시 도봉구 창3동,1110061,1132051300,127.0413973,37.63759863
153,서울특별시 도봉구 창4동,1110062,1132051400,127.0502384,37.65133595
154,서울특별시 도봉구 창5동,1110063,1132051500,127.0423144,37.65657628
155,서울특별시 도봉구 도봉1동,1110064,1132052100,127.0270538,37.68525372
156,서울특별시 도봉구 도봉2동,1110065,1132052200,127.0478343,37.68150358
157,서울특별시 노원구 월계1동,1111051,1135056000,127.0589991,37.622211
158,서울특별시 노원구 월계2동,1111052,1135057000,127.0505344,37.63481341
159,서울특별시 노원구 월계3동,1111053,1135058000,127.0649033,37.62582032
160,서울특별시 노원구 공릉2동,1111056,1135060000,127.0918437,37.63140449
161,서울특별시 노원구 하계1동,1111058,1135061100,127.0749452,37.63852342
162,서울특별시 노원구 하계2동,1111059,1135061200,127.0645879,37.6351569
163,서울특별시 노원구 중계본동,1111060,1135061900,127.0855576,37.64799255
164,서울특별시 노원구 중계1동,1111061,1135062100,127.0733872,37.64981278
165,서울특별시 노원구 중계4동,1111064,1135062400,127.0827843,37.65857718
166,서울특별시 노원구 상계1동,1111065,1135063000,127.0670363,37.68345207
167,서울특별시 노원구 상계2동,1111066,1135064000,127.0662806,37.65601903
168,서울특별시 노원구 상계5동,1111069,1135067000,127.0700662,37.66320768
169,서울특별시 노원구 상계8동,1111072,1135070000,127.0537623,37.6661937
170,서울특별시 노원구 상계9동,1111073,1135071000,127.0631776,37.66759392
171,서울특별시 노원구 상계10동,1111074,1135072000,127.0585779,37.65983705
172,서울특별시 노원구 상계3·4동,1111076,1135066500,127.0812987,37.67616839
173,서울특별시 노원구 상계6·7동,1111077,1135069500,127.0613907,37.64669249
174,서울특별시 노원구 중계2·3동,1111078,1135062500,127.0659914,37.64383102
175,서울특별시 노원구 공릉1동,1111079,1135059500,127.0730147,37.62351553
176,서울특별시 은평구 녹번동,1112051,1138051000,126.9355041,37.60421854
177,서울특별시 은평구 불광1동,1112052,1138052000,126.9372547,37.61812033
178,서울특별시 은평구 갈현1동,1112055,1138055100,126.9146342,37.62479014
179,서울특별시 은평구 갈현2동,1112056,1138055200,126.9126599,37.61834628
180,서울특별시 은평구 구산동,1112057,1138056000,126.909159,37.61209367
181,서울특별시 은평구 대조동,1112058,1138057000,126.9243238,37.61259546
182,서울특별시 은평구 응암1동,1112059,1138058000,126.9271472,37.59715724
183,서울특별시 은평구 응암2동,1112060,1138059000,126.9228346,37.59126021
184,서울특별시 은평구 신사1동,1112065,1138063100,126.9081446,37.5980586
185,서울특별시 은평구 신사2동,1112066,1138063200,126.9067349,37.59329372
186,서울특별시 은평구 증산동,1112067,1138064000,126.90589,37.58266264
187,서울특별시 은평구 수색동,1112068,1138065000,126.8932603,37.58604865
188,서울특별시 은평구 진관동,1112071,1138069000,126.9385284,37.64207735
189,서울특별시 은평구 불광2동,1112072,1138053000,126.9302409,37.62421145
190,서울특별시 은평구 응암3동,1112073,1138060000,126.9180863,37.58999533
191,서울특별시 은평구 역촌동,1112074,1138062500,126.9123005,37.60525546
192,서울특별시 서대문구 천연동,1113052,1141052000,126.9582965,37.57201549
193,서울특별시 서대문구 홍제1동,1113062,1141062000,126.9446411,37.57992841
194,서울특별시 서대문구 홍제3동,1113064,1141064000,126.9498852,37.59197718
195,서울특별시 서대문구 홍제2동,1113065,1141065500,126.952828,37.58408568
196,서울특별시 서대문구 홍은1동,1113066,1141066000,126.9478726,37.59962587
197,서울특별시 서대문구 홍은2동,1113068,1141068500,126.9321354,37.58684281
198,서울특별시 서대문구 남가좌1동,1113069,1141069000,126.9165894,37.57152447
199,서울특별시 서대문구 남가좌2동,1113070,1141070000,126.9209181,37.57845327
200,서울특별시 서대문구 북가좌1동,1113071,1141071000,126.9083698,37.57519893
201,서울특별시 서대문구 북가좌2동,1113072,1141072000,126.913913,37.58113789
