bbl,bldgclass,bldgclass_letter,borough,counts,lng,lat
3062880007,A1,A,BK,39488,-73.9925035676511,40.606348914897445
3060460027,A1,A,BK,178268,-74.03758062020039,40.62397574136171
3068040065,A1,A,BK,63550,-73.95157347908152,40.607374508139735
3049720077,A1,A,BK,102169,-73.94049707206477,40.640822225141626
3024040029,A1,A,BK,63202,-73.96359075642056,40.71418335567292
3059130148,A1,A,BK,79248,-74.01319379653908,40.62595112312838
3081260003,A1,A,BK,93543,-73.90860112222946,40.646766206845875
3077960010,A1,A,BK,59470,-73.92944741965432,40.625982336835754
3049930006,A1,A,BK,52682,-73.93245731286541,40.63933734449083
3047780036,A1,A,BK,54340,-73.93139158771362,40.640233623802565
3049500073,A1,A,BK,91597,-73.94545113333514,40.64248546983457
3054780018,A1,A,BK,158662,-73.98720615559962,40.62813608264457
3063010049,A1,A,BK,117289,-74.01462962707829,40.61758139045108
3063370014,A1,A,BK,263317,-74.01734521961984,40.61682334327199
3063760019,A1,A,BK,40296,-73.99844754935535,40.602915407086286
3050120009,A1,A,BK,99474,-73.9408850138564,40.63466420658682
3040780006,A1,A,BK,157211,-73.88474047249247,40.66654677911896
3065030127,A1,A,BK,139214,-73.97332497402023,40.62799339141086
3067010036,A1,A,BK,163309,-73.95996104816305,40.62955407677956
3068100008,A1,A,BK,72822,-73.94581232052046,40.60936772631062
3078640030,A1,A,BK,73069,-73.93499900046587,40.61780880460479
3050110032,A1,A,BK,99279,-73.94185709788606,40.63597964139758
3068050077,A1,A,BK,65000,-73.95076638179084,40.60809688251039
3050140035,A1,A,BK,83599,-73.93905678242449,40.63619367824815
3051460086,A1,A,BK,186613,-73.96438001730702,40.64224467837768
3052370115,A1,A,BK,173935,-73.96195426633395,40.63418708277411
3052370122,A1,A,BK,170449,-73.96237342183296,40.63369212255717
3052370142,A1,A,BK,163053,-73.96136120589384,40.63343795379713
3052370139,A1,A,BK,164802,-73.9613835013991,40.63358510413189
3062790055,A1,A,BK,57900,-74.01157960195773,40.617554635844755
3075940058,A1,A,BK,56663,-73.94646334927427,40.628430383314104
3068050010,A1,A,BK,62071,-73.95041857190867,40.608859388790535
3058690012,A1,A,BK,169983,-74.03357188835334,40.63784354563794
3077120055,A1,A,BK,76956,-73.94006008016152,40.61041115595713
3049910025,A1,A,BK,66429,-73.93405367104253,40.63833404675381
3085190047,A1,A,BK,104952,-73.9327159407265,40.60838672407886
3052380025,A1,A,BK,164293,-73.96081719556531,40.63399088232775
3052390004,A1,A,BK,158039,-73.9593902832282,40.63296528908545
3052390008,A1,A,BK,159291,-73.95973809311039,40.63292961627703
3052390017,A1,A,BK,164156,-73.95979160232302,40.63369212255717
3052390019,A1,A,BK,164947,-73.95981835692935,40.633825895588764
3063200022,A1,A,BK,207072,-74.01624828076069,40.61708643023414
3063200038,A1,A,BK,206393,-74.01530295133736,40.61651120619823
