기간,자치구,행정동,인구
기간,자치구,행정동,합계
기간,자치구,행정동,계
2019.1/4,구로구,구로4동,"26,975"
2019.1/4,구로구,구로5동,"33,845"
2019.1/4,구로구,고척1동,"24,510"
2019.1/4,구로구,고척2동,"29,345"
2019.1/4,구로구,개봉2동,"33,576"
2019.1/4,구로구,개봉3동,"22,123"
2019.1/4,구로구,오류1동,"22,686"
2019.1/4,구로구,오류2동,"47,387"
2019.1/4,구로구,수궁동,"25,322"
2019.1/4,구로구,가리봉동,"16,188"
2019.1/4,구로구,구로2동,"36,210"
2019.1/4,구로구,개봉1동,"34,548"
2019.1/4,금천구,소계,"254,244"
2019.1/4,금천구,가산동,"24,638"
2019.1/4,금천구,독산1동,"42,774"
2019.1/4,금천구,독산2동,"21,991"
2019.1/4,금천구,독산3동,"30,528"
2019.1/4,금천구,독산4동,"18,667"
2019.1/4,금천구,시흥1동,"37,199"
2019.1/4,금천구,시흥2동,"22,894"
2019.1/4,금천구,시흥3동,"11,702"
2019.1/4,금천구,시흥4동,"22,548"
2019.1/4,금천구,시흥5동,"21,303"
2019.1/4,영등포구,소계,"404,556"
2019.1/4,영등포구,여의동,"34,340"
2019.1/4,영등포구,당산1동,"21,400"
2019.1/4,영등포구,당산2동,"36,216"
2019.1/4,영등포구,양평1동,"18,055"
2019.1/4,영등포구,양평2동,"22,889"
2019.1/4,영등포구,신길1동,"19,575"
2019.1/4,영등포구,신길3동,"18,139"
2019.1/4,영등포구,신길4동,"10,324"
2019.1/4,영등포구,신길5동,"11,461"
2019.1/4,영등포구,신길6동,"19,804"
2019.1/4,영등포구,신길7동,"17,262"
2019.1/4,영등포구,대림1동,"16,941"
2019.1/4,영등포구,대림2동,"22,417"
2019.1/4,영등포구,대림3동,"29,373"
