기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.3/4	도봉구	방학2동	9,541	21,268	10,725	10,543	21,075	10,648	10,427	193	77	116	2.21	4,033
2019.3/4	도봉구	방학3동	10,107	28,846	14,054	14,792	28,770	14,035	14,735	76	19	57	2.85	4,364
2019.3/4	도봉구	창1동	10,930	26,438	12,650	13,788	26,273	12,584	13,689	165	66	99	2.4	4,203
2019.3/4	도봉구	창2동	12,392	30,723	15,088	15,635	30,448	14,964	15,484	275	124	151	2.46	4,716
2019.3/4	도봉구	창3동	6,699	14,923	7,446	7,477	14,820	7,406	7,414	103	40	63	2.21	2,736
2019.3/4	도봉구	창4동	10,591	28,034	13,520	14,514	27,933	13,465	14,468	101	55	46	2.64	3,871
2019.3/4	도봉구	창5동	10,079	25,866	12,452	13,414	25,753	12,416	13,337	113	36	77	2.56	3,953
2019.3/4	도봉구	도봉1동	10,257	22,431	11,330	11,101	22,275	11,276	10,999	156	54	102	2.17	5,340
2019.3/4	도봉구	도봉2동	12,179	28,789	14,134	14,655	28,673	14,088	14,585	116	46	70	2.35	5,966
2019.3/4	노원구	소계	217,058	539,829	261,141	278,688	535,282	259,204	276,078	4,547	1,937	2,610	2.47	79,968
2019.3/4	노원구	월계1동	10,492	24,044	12,375	11,669	23,361	12,044	11,317	683	331	352	2.23	4,095
2019.3/4	노원구	월계2동	11,241	26,209	12,620	13,589	26,059	12,575	13,484	150	45	105	2.32	5,089
2019.3/4	노원구	월계3동	12,981	31,904	15,299	16,605	31,707	15,223	16,484	197	76	121	2.44	5,542
2019.3/4	노원구	공릉2동	16,307	41,184	20,112	21,072	40,573	19,821	20,752	611	291	320	2.49	4,825
2019.3/4	노원구	하계1동	12,409	29,814	14,425	15,389	29,074	14,064	15,010	740	361	379	2.34	4,049
2019.3/4	노원구	하계2동	8,292	23,492	11,224	12,268	23,429	11,201	12,228	63	23	40	2.83	2,955
2019.3/4	노원구	중계본동	9,004	26,161	12,822	13,339	26,090	12,792	13,298	71	30	41	2.9	2,570
2019.3/4	노원구	중계1동	9,112	28,152	13,779	14,373	28,074	13,744	14,330	78	35	43	3.08	2,219
2019.3/4	노원구	중계4동	8,495	21,480	10,427	11,053	21,402	10,403	10,999	78	24	54	2.52	3,768
2019.3/4	노원구	상계1동	15,550	40,359	19,621	20,738	40,192	19,567	20,625	167	54	113	2.58	6,369
2019.3/4	노원구	상계2동	8,783	21,358	10,516	10,842	21,178	10,440	10,738	180	76	104	2.41	3,095
2019.3/4	노원구	상계5동	10,986	25,704	12,519	13,185	25,563	12,468	13,095	141	51	90	2.33	4,781
2019.3/4	노원구	상계8동	9,270	24,086	11,615	12,471	24,035	11,606	12,429	51	9	42	2.59	2,614
2019.3/4	노원구	상계9동	8,452	22,002	10,501	11,501	21,916	10,484	11,432	86	17	69	2.59	3,078
2019.3/4	노원구	상계10동	6,608	16,736	7,717	9,019	16,671	7,687	8,984	65	30	35	2.52	2,123
2019.3/4	노원구	상계3.4동	11,568	25,946	12,910	13,036	25,819	12,872	12,947	127	38	89	2.23	5,611
2019.3/4	노원구	상계6.7동	14,000	34,834	16,201	18,633	34,673	16,142	18,531	161	59	102	2.48	4,518
2019.3/4	노원구	중계2.3동	15,421	37,108	17,261	19,847	36,944	17,197	19,747	164	64	100	2.4	6,830
2019.3/4	노원구	공릉1동	18,087	39,256	19,197	20,059	38,522	18,874	19,648	734	323	411	2.13	5,837
2019.3/4	은평구	소계	207,410	486,159	234,228	251,931	481,663	232,383	249,280	4,496	1,845	2,651	2.32	79,957
2019.3/4	은평구	녹번동	16,946	38,158	18,352	19,806	37,716	18,147	19,569	442	205	237	2.23	6,476
2019.3/4	은평구	불광1동	17,826	41,048	19,477	21,571	40,730	19,345	21,385	318	132	186	2.28	7,346
2019.3/4	은평구	갈현1동	11,248	24,768	12,080	12,688	24,510	11,961	12,549	258	119	139	2.18	4,247
