기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.3/4	은평구	불광2동	13,771	29,576	14,407	15,169	29,271	14,274	14,997	305	133	172	2.13	5,515
2019.3/4	은평구	응암3동	12,605	26,193	12,818	13,375	25,839	12,670	13,169	354	148	206	2.05	5,398
2019.3/4	은평구	역촌동	20,765	48,883	23,231	25,652	48,450	23,069	25,381	433	162	271	2.33	7,867
2019.3/4	서대문구	소계	140,007	324,089	153,618	170,471	310,069	149,061	161,008	14,020	4,557	9,463	2.21	51,708
2019.3/4	서대문구	천연동	8,213	18,803	8,974	9,829	18,502	8,828	9,674	301	146	155	2.25	3,214
2019.3/4	서대문구	홍제1동	10,304	25,045	11,776	13,269	24,755	11,645	13,110	290	131	159	2.4	4,272
2019.3/4	서대문구	홍제3동	7,131	16,534	8,036	8,498	16,363	7,963	8,400	171	73	98	2.29	3,428
2019.3/4	서대문구	홍제2동	5,849	14,629	6,980	7,649	14,499	6,921	7,578	130	59	71	2.48	2,588
2019.3/4	서대문구	홍은1동	9,271	22,758	11,017	11,741	22,426	10,874	11,552	332	143	189	2.42	4,267
2019.3/4	서대문구	홍은2동	12,161	28,402	13,774	14,628	27,638	13,463	14,175	764	311	453	2.27	4,781
2019.3/4	서대문구	남가좌1동	6,102	17,029	8,221	8,808	16,686	8,080	8,606	343	141	202	2.73	2,160
2019.3/4	서대문구	남가좌2동	11,173	25,729	12,324	13,405	24,870	12,007	12,863	859	317	542	2.23	4,202
2019.3/4	서대문구	북가좌1동	7,016	19,188	9,289	9,899	19,035	9,233	9,802	153	56	97	2.71	2,853
2019.3/4	서대문구	북가좌2동	14,736	33,955	16,486	17,469	33,595	16,347	17,248	360	139	221	2.28	5,939
2019.3/4	서대문구	충현동	8,815	18,242	8,845	9,397	17,768	8,638	9,130	474	207	267	2.02	3,123
2019.3/4	서대문구	북아현동	7,529	17,607	8,383	9,224	17,153	8,202	8,951	454	181	273	2.28	2,280
2019.3/4	서대문구	신촌동	12,386	24,810	9,749	15,061	18,713	8,438	10,275	6,097	1,311	4,786	1.51	2,207
2019.3/4	서대문구	연희동	19,321	41,358	19,764	21,594	38,066	18,422	19,644	3,292	1,342	1,950	1.97	6,394
2019.3/4	마포구	소계	174,181	385,605	181,368	204,237	373,629	176,863	196,766	11,976	4,505	7,471	2.15	51,961
2019.3/4	마포구	용강동	9,128	22,403	10,641	11,762	21,878	10,356	11,522	525	285	240	2.4	2,791
2019.3/4	마포구	대흥동	7,156	13,776	6,285	7,491	11,588	5,634	5,954	2,188	651	1,537	1.62	1,863
2019.3/4	마포구	염리동	5,736	13,533	6,339	7,194	12,499	6,037	6,462	1,034	302	732	2.18	1,799
2019.3/4	마포구	신수동	9,554	22,514	10,963	11,551	22,001	10,776	11,225	513	187	326	2.3	3,087
2019.3/4	마포구	서교동	14,075	26,104	11,903	14,201	24,316	11,272	13,044	1,788	631	1,157	1.73	3,345
2019.3/4	마포구	합정동	9,580	19,175	8,928	10,247	18,772	8,767	10,005	403	161	242	1.96	2,587
2019.3/4	마포구	망원1동	10,679	21,995	10,357	11,638	21,607	10,193	11,414	388	164	224	2.02	3,280
2019.3/4	마포구	망원2동	8,223	19,270	9,169	10,101	19,082	9,100	9,982	188	69	119	2.32	2,868
2019.3/4	마포구	연남동	8,644	17,051	7,937	9,114	15,935	7,458	8,477	1,116	479	637	1.84	2,443
2019.3/4	마포구	성산1동	9,341	20,288	9,539	10,749	19,870	9,380	10,490	418	159	259	2.13	2,849
2019.3/4	마포구	성산2동	18,774	41,623	19,204	22,419	41,333	19,107	22,226	290	97	193	2.2	5,881
2019.3/4	마포구	상암동	12,792	32,976	15,745	17,231	32,331	15,445	16,886	645	300	345	2.53	3,753
2019.3/4	마포구	도화동	9,630	22,663	10,772	11,891	22,380	10,649	11,731	283	123	160	2.32	3,571
2019.3/4	마포구	서강동	11,710	26,240	12,338	13,902	25,293	12,045	13,248	947	293	654	2.16	3,012
2019.3/4	마포구	공덕동	18,976	40,603	19,306	21,297	39,863	18,941	20,922	740	365	375	2.1	5,895
2019.3/4	마포구	아현동	10,183	25,391	11,942	13,449	24,881	11,703	13,178	510	239	271	2.44	2,937
2019.3/4	양천구	소계	177,339	463,931	227,911	236,020	459,849	226,091	233,758	4,082	1,820	2,262	2.59	60,487
2019.3/4	양천구	목1동	10,474	32,111	15,467	16,644	31,886	15,359	16,527	225	108	117	3.04	2,854
2019.3/4	양천구	목2동	13,043	31,501	15,393	16,108	31,231	15,281	15,950	270	112	158	2.39	3,726
2019.3/4	양천구	목3동	9,942	23,145	11,135	12,010	22,957	11,055	11,902	188	80	108	2.31	3,007
2019.3/4	양천구	목4동	10,151	27,053	13,283	13,770	26,824	13,174	13,650	229	109	120	2.64	3,023
2019.3/4	양천구	신월1동	10,149	21,976	11,229	10,747	21,617	11,078	10,539	359	151	208	2.13	3,754
2019.3/4	양천구	신월2동	8,641	22,427	11,000	11,427	22,231	10,909	11,322	196	91	105	2.57	3,550
2019.3/4	양천구	신월3동	8,182	16,844	8,886	7,958	16,592	8,768	7,824	252	118	134	2.03	2,785
2019.3/4	양천구	신월4동	6,885	19,064	9,368	9,696	18,966	9,338	9,628	98	30	68	2.75	2,899
2019.3/4	양천구	신월5동	6,448	15,631	7,735	7,896	15,469	7,667	7,802	162	68	94	2.4	2,185
2019.3/4	양천구	신월6동	2,509	6,670	3,310	3,360	6,631	3,296	3,335	39	14	25	2.64	1,086
2019.3/4	양천구	신월7동	9,255	21,803	10,701	11,102	21,652	10,661	10,991	151	40	111	2.34	4,025
2019.3/4	양천구	신정1동	7,224	21,578	10,559	11,019	21,378	10,460	10,918	200	99	101	2.96	2,491
2019.3/4	양천구	신정2동	7,171	20,713	10,125	10,588	20,558	10,063	10,495	155	62	93	2.87	2,414
2019.3/4	양천구	신정3동	17,943	48,467	23,664	24,803	48,039	23,458	24,581	428	206	222	2.68	6,379
2019.3/4	양천구	신정6동	8,165	25,291	12,314	12,977	25,270	12,303	12,967	21	11	10	3.09	2,451
2019.3/4	양천구	신정7동	11,613	30,930	15,006	15,924	30,720	14,905	15,815	210	101	109	2.65	4,465
2019.3/4	양천구	목5동	13,535	42,943	21,204	21,739	42,881	21,177	21,704	62	27	35	3.17	3,923
2019.3/4	양천구	신정4동	16,009	35,784	17,532	18,252	34,947	17,139	17,808	837	393	444	2.18	5,470
2019.3/4	강서구	소계	262,108	600,240	290,942	309,298	593,708	287,751	305,957	6,532	3,191	3,341	2.27	82,937
2019.3/4	강서구	염창동	15,556	42,478	20,758	21,720	42,352	20,700	21,652	126	58	68	2.72	3,871
2019.3/4	강서구	등촌1동	12,074	23,720	11,213	12,507	23,508	11,133	12,375	212	80	132	1.95	2,626
2019.3/4	강서구	등촌2동	8,653	21,922	10,844	11,078	21,790	10,786	11,004	132	58	74	2.52	2,889
2019.3/4	강서구	등촌3동	14,766	32,715	15,551	17,164	32,518	15,472	17,046	197	79	118	2.2	5,978
2019.3/4	강서구	화곡본동	16,483	36,064	17,571	18,493	35,627	17,391	18,236	437	180	257	2.16	4,497
2019.3/4	강서구	화곡2동	8,255	19,655	9,561	10,094	19,333	9,420	9,913	322	141	181	2.34	2,687
2019.3/4	강서구	화곡3동	9,422	22,698	10,884	11,814	22,521	10,816	11,705	177	68	109	2.39	3,691
2019.3/4	강서구	화곡4동	9,653	22,175	10,854	11,321	21,819	10,701	11,118	356	153	203	2.26	3,453
2019.3/4	강서구	화곡6동	11,413	24,930	12,316	12,614	24,716	12,226	12,490	214	90	124	2.17	3,517
2019.3/4	강서구	화곡8동	11,674	26,593	12,780	13,813	26,090	12,548	13,542	503	232	271	2.23	4,027
2019.3/4	강서구	가양1동	19,062	34,199	16,048	18,151	33,838	15,834	18,004	361	214	147	1.78	2,732
2019.3/4	강서구	가양2동	8,108	15,301	7,284	8,017	15,211	7,260	7,951	90	24	66	1.88	3,600
2019.3/4	강서구	가양3동	7,922	16,277	7,652	8,625	16,166	7,607	8,559	111	45	66	2.04	3,302
2019.3/4	강서구	발산1동	13,509	38,559	18,367	20,192	38,396	18,302	20,094	163	65	98	2.84	4,333
2019.3/4	강서구	공항동	12,736	28,336	14,533	13,803	27,419	13,868	13,551	917	665	252	2.15	3,634
2019.3/4	강서구	방화1동	17,419	45,847	22,412	23,435	45,518	22,256	23,262	329	156	173	2.61	5,981
2019.3/4	강서구	방화2동	11,594	24,203	11,982	12,221	23,868	11,804	12,064	335	178	157	2.06	4,455
2019.3/4	강서구	방화3동	11,258	24,582	11,865	12,717	24,423	11,805	12,618	159	60	99	2.17	4,635
2019.3/4	강서구	화곡1동	26,265	54,681	26,740	27,941	53,531	26,213	27,318	1,150	527	623	2.04	7,721
2019.3/4	강서구	우장산동	16,286	45,305	21,727	23,578	45,064	21,609	23,455	241	118	123	2.77	5,308
2019.3/4	구로구	소계	175,844	439,850	219,971	219,879	406,748	201,077	205,671	33,102	18,894	14,208	2.31	64,952
2019.3/4	구로구	신도림동	13,451	37,392	18,293	19,099	37,053	18,098	18,955	339	195	144	2.75	4,258
2019.3/4	구로구	구로1동	8,216	22,120	10,881	11,239	21,664	10,635	11,029	456	246	210	2.64	2,242
2019.3/4	구로구	구로3동	13,215	26,460	13,526	12,934	24,469	12,442	12,027	1,991	1,084	907	1.85	3,250
2019.3/4	구로구	구로4동	10,560	26,504	13,440	13,064	21,074	10,283	10,791	5,430	3,157	2,273	2	4,319
2019.3/4	구로구	구로5동	14,469	33,690	16,572	17,118	29,993	14,488	15,505	3,697	2,084	1,613	2.07	4,379
2019.3/4	구로구	고척1동	9,550	24,293	12,179	12,114	23,812	11,943	11,869	481	236	245	2.49	3,959
2019.3/4	구로구	고척2동	11,634	29,019	14,401	14,618	28,378	14,061	14,317	641	340	301	2.44	4,639
2019.3/4	구로구	개봉2동	12,636	33,428	16,331	17,097	32,912	16,081	16,831	516	250	266	2.6	5,770
2019.3/4	구로구	개봉3동	8,851	22,176	10,857	11,319	21,691	10,619	11,072	485	238	247	2.45	3,788
2019.3/4	구로구	오류1동	11,055	23,025	11,297	11,728	22,307	10,953	11,354	718	344	374	2.02	3,665
2019.3/4	구로구	오류2동	19,809	51,567	25,087	26,480	50,748	24,673	26,075	819	414	405	2.56	7,418
2019.3/4	구로구	수궁동	9,837	25,000	12,417	12,583	24,641	12,228	12,413	359	189	170	2.5	3,921
2019.3/4	구로구	가리봉동	5,824	15,518	8,946	6,572	9,439	5,125	4,314	6,079	3,821	2,258	1.62	2,030
2019.3/4	구로구	구로2동	12,778	35,481	18,595	16,886	25,533	12,896	12,637	9,948	5,699	4,249	2	5,516
2019.3/4	구로구	개봉1동	13,959	34,177	17,149	17,028	33,034	16,552	16,482	1,143	597	546	2.37	5,798
2019.3/4	금천구	소계	110,072	252,868	129,510	123,358	233,371	118,471	114,900	19,497	11,039	8,458	2.12	37,191
2019.3/4	금천구	가산동	13,666	24,497	13,739	10,758	20,991	11,594	9,397	3,506	2,145	1,361	1.54	2,401
2019.3/4	금천구	독산1동	19,766	43,529	22,633	20,896	41,013	21,184	19,829	2,516	1,449	1,067	2.07	5,216
2019.3/4	금천구	독산2동	9,256	21,602	11,101	10,501	19,581	9,990	9,591	2,021	1,111	910	2.12	3,212
2019.3/4	금천구	독산3동	12,336	30,152	15,594	14,558	25,253	12,771	12,482	4,899	2,823	2,076	2.05	4,285
2019.3/4	금천구	독산4동	7,627	18,444	9,400	9,044	16,174	8,143	8,031	2,270	1,257	1,013	2.12	2,716
2019.3/4	금천구	시흥1동	15,882	37,034	18,627	18,407	34,602	17,289	17,313	2,432	1,338	1,094	2.18	5,732
2019.3/4	금천구	시흥2동	8,421	22,735	11,055	11,680	22,620	11,002	11,618	115	53	62	2.69	3,694
2019.3/4	금천구	시흥3동	4,730	11,598	5,808	5,790	11,444	5,734	5,710	154	74	80	2.42	2,198
2019.3/4	금천구	시흥4동	9,065	22,246	11,077	11,169	21,402	10,646	10,756	844	431	413	2.36	3,705
2019.3/4	금천구	시흥5동	9,323	21,031	10,476	10,555	20,291	10,118	10,173	740	358	382	2.18	4,032
2019.3/4	영등포구	소계	174,309	402,478	201,944	200,534	368,402	182,913	185,489	34,076	19,031	15,045	2.11	57,350
2019.3/4	영등포구	여의동	13,484	34,576	16,312	18,264	34,196	16,099	18,097	380	213	167	2.54	5,862
2019.3/4	영등포구	당산1동	10,574	21,509	10,576	10,933	20,972	10,320	10,652	537	256	281	1.98	3,171
2019.3/4	영등포구	당산2동	17,312	36,238	17,034	19,204	35,787	16,837	18,950	451	197	254	2.07	4,254
2019.3/4	영등포구	양평1동	8,952	18,251	9,117	9,134	17,898	8,937	8,961	353	180	173	2	2,403
2019.3/4	영등포구	양평2동	10,124	22,886	11,432	11,454	22,628	11,305	11,323	258	127	131	2.24	2,399
2019.3/4	영등포구	신길1동	10,050	19,730	10,121	9,609	17,600	8,935	8,665	2,130	1,186	944	1.75	3,216
2019.3/4	영등포구	신길3동	7,571	18,703	9,335	9,368	17,297	8,552	8,745	1,406	783	623	2.28	2,925
2019.3/4	영등포구	신길4동	4,282	10,082	5,138	4,944	9,017	4,520	4,497	1,065	618	447	2.11	1,786
2019.3/4	영등포구	신길5동	4,164	10,858	5,408	5,450	9,170	4,446	4,724	1,688	962	726	2.2	1,867
2019.3/4	영등포구	신길6동	8,436	19,593	9,738	9,855	18,309	9,020	9,289	1,284	718	566	2.17	3,084
2019.3/4	영등포구	신길7동	6,534	17,092	8,525	8,567	16,873	8,418	8,455	219	107	112	2.58	2,003
2019.3/4	영등포구	대림1동	6,364	16,499	8,524	7,975	12,968	6,488	6,480	3,531	2,036	1,495	2.04	2,735
2019.3/4	영등포구	대림2동	6,838	21,705	11,361	10,344	12,770	6,218	6,552	8,935	5,143	3,792	1.87	2,870
2019.3/4	영등포구	대림3동	10,493	28,879	14,804	14,075	23,902	12,006	11,896	4,977	2,798	2,179	2.28	4,085
2019.3/4	영등포구	영등포본동	10,214	24,989	12,884	12,105	22,052	11,265	10,787	2,937	1,619	1,318	2.16	3,782
2019.3/4	영등포구	영등포동	17,145	27,149	14,750	12,399	26,428	14,400	12,028	721	350	371	1.54	3,311
2019.3/4	영등포구	도림동	9,300	21,778	11,116	10,662	18,788	9,490	9,298	2,990	1,626	1,364	2.02	3,250
2019.3/4	영등포구	문래동	12,472	31,961	15,769	16,192	31,747	15,657	16,090	214	112	102	2.55	4,347
2019.3/4	동작구	소계	180,841	410,487	198,593	211,894	397,618	192,829	204,789	12,869	5,764	7,105	2.2	61,607
2019.3/4	동작구	노량진2동	7,202	13,954	7,169	6,785	12,936	6,639	6,297	1,018	530	488	1.8	2,587
2019.3/4	동작구	상도1동	21,383	48,372	23,364	25,008	46,051	22,451	23,600	2,321	913	1,408	2.15	6,552
2019.3/4	동작구	상도2동	12,860	29,396	14,108	15,288	29,016	13,943	15,073	380	165	215	2.26	4,225
2019.3/4	동작구	상도3동	11,868	26,111	12,534	13,577	25,694	12,344	13,350	417	190	227	2.16	4,120
2019.3/4	동작구	상도4동	13,436	30,107	14,709	15,398	29,677	14,515	15,162	430	194	236	2.21	4,641
2019.3/4	동작구	사당1동	13,050	24,139	11,541	12,598	23,463	11,201	12,262	676	340	336	1.8	3,493
2019.3/4	동작구	사당3동	10,652	26,276	12,777	13,499	25,973	12,634	13,339	303	143	160	2.44	4,186
2019.3/4	동작구	사당4동	6,957	14,902	7,139	7,763	14,698	7,042	7,656	204	97	107	2.11	2,431
2019.3/4	동작구	사당5동	5,704	12,957	6,271	6,686	12,826	6,216	6,610	131	55	76	2.25	1,965
2019.3/4	동작구	대방동	17,176	40,244	19,148	21,096	39,798	18,927	20,871	446	221	225	2.32	5,319
2019.3/4	동작구	신대방1동	9,901	26,747	13,063	13,684	23,970	11,544	12,426	2,777	1,519	1,258	2.42	3,474
2019.3/4	동작구	신대방2동	9,286	20,726	9,963	10,763	20,431	9,832	10,599	295	131	164	2.2	2,873
2019.3/4	동작구	흑석동	14,333	35,482	16,891	18,591	32,849	16,008	16,841	2,633	883	1,750	2.29	5,468
2019.3/4	동작구	노량진1동	15,088	32,603	16,165	16,438	32,261	16,015	16,246	342	150	192	2.14	5,365
2019.3/4	동작구	사당2동	11,945	28,471	13,751	14,720	27,975	13,518	14,457	496	233	263	2.34	4,908
2019.3/4	관악구	소계	268,226	519,953	260,386	259,567	502,117	251,923	250,194	17,836	8,463	9,373	1.87	74,518
2019.3/4	관악구	보라매동	12,310	26,688	13,016	13,672	25,176	12,303	12,873	1,512	713	799	2.05	4,155
2019.3/4	관악구	청림동	6,565	16,331	8,009	8,322	16,185	7,939	8,246	146	70	76	2.47	2,612
2019.3/4	관악구	행운동	17,069	30,276	14,720	15,556	29,724	14,518	15,206	552	202	350	1.74	4,118
2019.3/4	관악구	낙성대동	10,755	17,736	8,834	8,902	16,953	8,503	8,450	783	331	452	1.58	1,916
2019.3/4	관악구	중앙동	9,287	15,782	7,547	8,235	15,344	7,354	7,990	438	193	245	1.65	2,281
2019.3/4	관악구	인헌동	14,085	27,200	13,295	13,905	26,799	13,129	13,670	401	166	235	1.9	3,692
2019.3/4	관악구	남현동	9,381	19,032	9,148	9,884	18,821	9,051	9,770	211	97	114	2.01	2,572
2019.3/4	관악구	서원동	13,835	24,095	12,256	11,839	23,233	11,862	11,371	862	394	468	1.68	3,111
2019.3/4	관악구	신원동	10,478	19,892	10,025	9,867	18,612	9,356	9,256	1,280	669	611	1.78	3,076
2019.3/4	관악구	서림동	14,124	24,485	13,374	11,111	23,852	13,145	10,707	633	229	404	1.69	3,296
2019.3/4	관악구	신사동	13,269	26,161	13,196	12,965	23,017	11,540	11,477	3,144	1,656	1,488	1.73	3,310
2019.3/4	관악구	신림동	16,714	22,574	11,376	11,198	21,713	10,987	10,726	861	389	472	1.3	1,881
2019.3/4	관악구	난향동	6,453	16,436	8,110	8,326	16,314	8,049	8,265	122	61	61	2.53	2,633
2019.3/4	관악구	조원동	10,284	19,671	10,063	9,608	17,572	8,905	8,667	2,099	1,158	941	1.71	2,587
2019.3/4	관악구	대학동	15,786	24,603	14,584	10,019	23,675	14,248	9,427	928	336	592	1.5	2,665
2019.3/4	관악구	은천동	15,871	35,505	17,398	18,107	34,804	17,074	17,730	701	324	377	2.19	5,471
2019.3/4	관악구	성현동	12,889	32,323	15,678	16,645	32,102	15,579	16,523	221	99	122	2.49	5,349
2019.3/4	관악구	청룡동	20,527	33,607	16,158	17,449	32,166	15,521	16,645	1,441	637	804	1.57	3,999
2019.3/4	관악구	난곡동	12,930	29,173	14,693	14,480	28,574	14,403	14,171	599	290	309	2.21	4,993
2019.3/4	관악구	삼성동	11,460	25,454	12,784	12,670	25,265	12,704	12,561	189	80	109	2.2	5,501
2019.3/4	관악구	미성동	14,154	32,929	16,122	16,807	32,216	15,753	16,463	713	369	344	2.28	5,300
2019.3/4	서초구	소계	173,215	435,258	208,297	226,961	431,027	206,185	224,842	4,231	2,112	2,119	2.49	56,455
2019.3/4	서초구	서초1동	9,415	21,708	10,487	11,221	21,479	10,377	11,102	229	110	119	2.28	2,842
2019.3/4	서초구	서초2동	8,333	18,675	8,949	9,726	18,351	8,749	9,602	324	200	124	2.2	2,069
2019.3/4	서초구	서초3동	13,576	31,067	15,196	15,871	30,742	15,032	15,710	325	164	161	2.26	4,361
2019.3/4	서초구	서초4동	11,014	31,886	15,456	16,430	31,621	15,306	16,315	265	150	115	2.87	3,847
2019.3/4	서초구	잠원동	14,020	34,953	16,607	18,346	34,731	16,505	18,226	222	102	120	2.48	3,808
2019.3/4	서초구	반포본동	4,120	12,106	5,694	6,412	12,039	5,659	6,380	67	35	32	2.92	1,872
2019.3/4	서초구	반포1동	14,341	33,139	15,937	17,202	32,779	15,787	16,992	360	150	210	2.29	3,282
2019.3/4	서초구	반포2동	5,156	16,381	7,809	8,572	16,198	7,719	8,479	183	90	93	3.14	1,833
2019.3/4	서초구	반포3동	7,041	20,324	9,608	10,716	20,266	9,576	10,690	58	32	26	2.88	2,359
2019.3/4	서초구	반포4동	7,334	20,270	9,593	10,677	19,714	9,302	10,412	556	291	265	2.69	2,632
2019.3/4	서초구	방배본동	7,850	21,471	9,991	11,480	21,277	9,898	11,379	194	93	101	2.71	2,871
2019.3/4	서초구	방배1동	7,620	17,559	8,245	9,314	17,429	8,191	9,238	130	54	76	2.29	2,687
2019.3/4	서초구	방배2동	8,840	21,135	9,972	11,163	20,977	9,890	11,087	158	82	76	2.37	3,334
2019.3/4	서초구	방배3동	8,475	22,489	10,841	11,648	22,328	10,765	11,563	161	76	85	2.63	3,565
2019.3/4	서초구	방배4동	9,781	24,278	11,174	13,104	23,978	11,031	12,947	300	143	157	2.45	3,224
2019.3/4	서초구	양재1동	18,225	46,022	22,005	24,017	45,642	21,825	23,817	380	180	200	2.5	6,249
2019.3/4	서초구	양재2동	10,782	23,250	11,703	11,547	22,994	11,567	11,427	256	136	120	2.13	2,686
2019.3/4	서초구	내곡동	7,292	18,545	9,030	9,515	18,482	9,006	9,476	63	24	39	2.53	2,934
2019.3/4	강남구	소계	232,115	549,043	262,829	286,214	544,028	260,305	283,723	5,015	2,524	2,491	2.34	70,029
2019.3/4	강남구	신사동	7,485	17,623	8,207	9,416	17,348	8,056	9,292	275	151	124	2.32	2,881
2019.3/4	강남구	논현1동	14,219	23,810	11,081	12,729	23,237	10,813	12,424	573	268	305	1.63	2,824
2019.3/4	강남구	논현2동	11,357	22,002	10,245	11,757	21,704	10,103	11,601	298	142	156	1.91	2,938
2019.3/4	강남구	삼성1동	5,903	14,928	7,481	7,447	14,645	7,291	7,354	283	190	93	2.48	2,075
2019.3/4	강남구	삼성2동	13,274	30,362	14,490	15,872	30,132	14,359	15,773	230	131	99	2.27	3,247
2019.3/4	강남구	대치1동	7,424	25,349	12,722	12,627	25,298	12,695	12,603	51	27	24	3.41	2,219
2019.3/4	강남구	대치4동	10,270	20,937	9,914	11,023	20,636	9,765	10,871	301	149	152	2.01	1,911
2019.3/4	강남구	역삼1동	23,739	37,277	18,019	19,258	36,254	17,524	18,730	1,023	495	528	1.53	3,519
2019.3/4	강남구	역삼2동	15,450	37,211	17,489	19,722	36,862	17,299	19,563	349	190	159	2.39	3,453
2019.3/4	강남구	도곡1동	8,561	22,618	10,702	11,916	22,464	10,620	11,844	154	82	72	2.62	2,757
2019.3/4	강남구	도곡2동	11,825	34,385	15,989	18,396	34,262	15,922	18,340	123	67	56	2.9	4,339
2019.3/4	강남구	개포1동	2,780	7,028	3,397	3,631	7,002	3,385	3,617	26	12	14	2.52	1,485
2019.3/4	강남구	개포4동	7,737	18,485	9,075	9,410	18,328	9,001	9,327	157	74	83	2.37	2,218
2019.3/4	강남구	일원본동	8,207	24,469	12,003	12,466	24,435	11,989	12,446	34	14	20	2.98	2,603
2019.3/4	강남구	일원1동	7,526	16,556	8,079	8,477	16,391	8,024	8,367	165	55	110	2.18	2,981
2019.3/4	강남구	일원2동	7,336	18,162	8,768	9,394	18,089	8,739	9,350	73	29	44	2.47	2,978
2019.3/4	강남구	수서동	7,849	16,065	7,379	8,686	15,985	7,351	8,634	80	28	52	2.04	4,029
2019.3/4	강남구	세곡동	17,773	45,109	21,514	23,595	44,903	21,421	23,482	206	93	113	2.53	5,969
2019.3/4	강남구	압구정동	10,716	27,767	12,751	15,016	27,607	12,679	14,928	160	72	88	2.58	4,855
2019.3/4	강남구	청담동	12,539	30,132	14,170	15,962	29,876	14,025	15,851	256	145	111	2.38	3,929
2019.3/4	강남구	대치2동	12,981	38,853	19,737	19,116	38,696	19,644	19,052	157	93	64	2.98	4,293
2019.3/4	강남구	개포2동	7,164	19,915	9,617	10,298	19,874	9,600	10,274	41	17	24	2.77	2,526
2019.3/4	송파구	소계	278,340	684,338	331,364	352,974	677,489	328,073	349,416	6,849	3,291	3,558	2.43	86,062
2019.3/4	송파구	풍납1동	6,605	15,697	7,775	7,922	14,834	7,338	7,496	863	437	426	2.25	2,720
2019.3/4	송파구	풍납2동	10,424	24,762	11,763	12,999	24,570	11,668	12,902	192	95	97	2.36	3,297
2019.3/4	송파구	거여1동	5,477	13,273	6,768	6,505	13,158	6,728	6,430	115	40	75	2.4	2,115
2019.3/4	송파구	거여2동	7,222	17,047	8,375	8,672	16,974	8,347	8,627	73	28	45	2.35	2,967
2019.3/4	송파구	마천1동	9,087	20,833	10,639	10,194	20,636	10,565	10,071	197	74	123	2.27	3,924
2019.3/4	송파구	마천2동	8,654	20,315	10,303	10,012	20,127	10,225	9,902	188	78	110	2.33	3,789
2019.3/4	송파구	방이1동	6,226	16,515	7,983	8,532	16,381	7,918	8,463	134	65	69	2.63	1,983
2019.3/4	송파구	방이2동	13,489	26,209	12,561	13,648	25,701	12,323	13,378	508	238	270	1.91	3,227
2019.3/4	송파구	오륜동	5,970	18,917	9,285	9,632	18,904	9,278	9,626	13	7	6	3.17	2,341
2019.3/4	송파구	오금동	15,719	40,959	19,968	20,991	40,739	19,856	20,883	220	112	108	2.59	5,547
2019.3/4	송파구	송파1동	12,440	26,152	12,338	13,814	25,653	12,077	13,576	499	261	238	2.06	3,192
2019.3/4	송파구	송파2동	7,359	20,889	10,091	10,798	20,725	10,004	10,721	164	87	77	2.82	2,636
2019.3/4	송파구	석촌동	16,855	34,278	16,451	17,827	33,551	16,104	17,447	727	347	380	1.99	4,079
2019.3/4	송파구	삼전동	16,319	32,823	15,647	17,176	32,415	15,479	16,936	408	168	240	1.99	3,629
2019.3/4	송파구	가락본동	11,870	27,910	13,846	14,064	27,551	13,671	13,880	359	175	184	2.32	3,313
2019.3/4	송파구	가락1동	9,693	27,207	13,225	13,982	27,124	13,192	13,932	83	33	50	2.8	2,642
2019.3/4	송파구	가락2동	12,283	33,915	16,623	17,292	33,704	16,525	17,179	211	98	113	2.74	3,752
2019.3/4	송파구	문정1동	8,576	21,380	10,597	10,783	21,166	10,496	10,670	214	101	113	2.47	2,647
2019.3/4	송파구	문정2동	15,470	30,038	14,002	16,036	29,862	13,921	15,941	176	81	95	1.93	3,503
2019.3/4	송파구	장지동	13,326	34,113	16,516	17,597	33,878	16,387	17,491	235	129	106	2.54	4,164
2019.3/4	송파구	위례동	8,990	28,291	13,783	14,508	28,233	13,762	14,471	58	21	37	3.14	1,883
2019.3/4	송파구	잠실본동	15,087	29,680	14,041	15,639	29,068	13,742	15,326	612	299	313	1.93	3,447
2019.3/4	송파구	잠실4동	7,543	22,371	10,791	11,580	22,292	10,756	11,536	79	35	44	2.96	2,481
2019.3/4	송파구	잠실6동	5,942	17,522	8,367	9,155	17,335	8,264	9,071	187	103	84	2.92	2,556
2019.3/4	송파구	잠실7동	3,480	10,244	4,774	5,470	10,231	4,769	5,462	13	5	8	2.94	1,999
2019.3/4	송파구	잠실2동	11,995	36,853	17,600	19,253	36,742	17,536	19,206	111	64	47	3.06	3,209
2019.3/4	송파구	잠실3동	12,239	36,145	17,252	18,893	35,935	17,142	18,793	210	110	100	2.94	5,020
2019.3/4	강동구	소계	178,969	430,522	212,590	217,932	426,219	210,593	215,626	4,303	1,997	2,306	2.38	61,710
2019.3/4	강동구	강일동	11,189	32,377	15,662	16,715	32,237	15,598	16,639	140	64	76	2.88	4,498
2019.3/4	강동구	상일동	4,154	10,943	5,455	5,488	10,853	5,411	5,442	90	44	46	2.61	1,584
2019.3/4	강동구	명일1동	9,675	26,212	12,845	13,367	26,128	12,817	13,311	84	28	56	2.7	3,377
2019.3/4	강동구	명일2동	6,018	18,000	8,870	9,130	17,956	8,856	9,100	44	14	30	2.98	2,220
