adm_cd2,2019.1/4,2019.2/4,2019.3/4
11500593,26846,26798,26593
11500603,33804,34090,34199
11500604,15562,15413,15301
11500605,16467,16445,16277
11500611,38736,38619,38559
11500615,46299,46048,45305
11500620,28713,28527,28336
11500630,46148,45982,45847
11500640,24417,24354,24203
11500641,24775,24673,24582
11530510,37547,37492,37392
11530520,21807,21849,22120
11530530,36210,35948,35481
11530540,26820,26579,26460
11530550,26975,26721,26504
11530560,33845,33800,33690
11530595,16188,15917,15518
11530720,24510,24427,24293
11530730,29345,29225,29019
11530740,34548,34446,34177
11530750,33576,33561,33428
11530760,22123,22184,22176
11530770,22686,22696,23025
11530780,47387,49302,51567
11530790,25322,25181,25000
11545510,24638,24522,24497
11545610,42774,43574,43529
11545620,21991,21779,21602
11545630,30528,30392,30152
11545640,18667,18606,18444
11545670,37199,37144,37034
11545680,22894,22861,22735
11545690,11702,11648,11598
11545700,22548,22349,22246
11545710,21303,21186,21031
11560515,25408,25190,24989
11560535,26660,26964,27149
11560540,34340,34479,34576
11560550,21400,21491,21509
11560560,36216,36213,36238
11560585,22120,21974,21778
11560605,32172,32054,31961
11560610,18055,18240,18251
11560620,22889,22934,22886
11560630,19575,19677,19730
11560650,18139,18743,18703
11560660,10324,10171,10082
11560670,11461,11115,10858
11560680,19804,19675,19593
11560690,17262,17202,17092
11560700,16941,16686,16499
11560710,22417,22177,21705
11560720,29373,29244,28879
11590510,32634,32606,32603
11590520,14234,14110,13954
11590530,48459,48432,48372
11590540,29351,29422,29396
11590550,26152,26159,26111
11590560,30316,30257,30107
11590605,35007,35585,35482
11590620,24233,24273,24139
11590630,28584,28575,28471
11590640,26702,26557,26276
11590650,15117,15055,14902
11590651,13164,13094,12957
11590660,40191,40194,40244
11590670,27010,26841,26747
11590680,20877,20840,20726
11620525,26511,26382,26688
11620545,16411,16384,16331
11620565,32819,32715,32323
11620575,30523,30581,30276
11620585,17919,17806,17736
11620595,30750,30997,33607
11620605,35713,35770,35505
11620615,15791,15873,15782
11620625,27271,27297,27200
11620630,19091,19107,19032
11620645,24096,24147,24095
11620655,20121,20077,19892
11620665,24883,24721,24485
11620685,26466,26356,26161
11620695,22515,22682,22574
11620715,16671,16541,16436
11620725,19748,19676,19671
11620735,24895,24741,24603
11620745,25881,25696,25454
11620765,33180,33001,32929
11620775,29390,29314,29173
11650510,21566,21546,21708
11650520,18614,18574,18675
11650530,30876,30903,31067
11650531,31899,31867,31886
11650540,34745,34575,34953
11650550,12383,12329,12106
11650560,33200,33247,33139
11650570,16490,16424,16381
11650580,20255,20267,20324
11650581,20474,20369,20270
11650590,21674,21562,21471
11650600,17680,17592,17559
11650610,21629,21342,21135
11650620,22491,22578,22489
11650621,24424,24294,24278
11650651,46412,46231,46022
11650652,23641,23382,23250
11650660,18554,18549,18545
11680510,17761,17651,17623
11680521,23985,23776,23810
11680531,22204,22079,22002
11680545,27980,27865,27767
11680565,30181,30165,30132
11680580,15109,15058,14928
11680590,30508,30308,30362
11680600,25395,25288,25349
11680610,39424,38994,38853
11680630,20945,20860,20937
11680640,36916,37101,37277
11680650,36737,36991,37211
11680655,22768,22689,22618
11680656,34484,34370,34385
11680660,7272,7076,7028
11680670,15551,18188,19915
11680690,18697,18550,18485
11680700,45289,45180,45109
11680720,24615,24486,24469
11680730,16850,16652,16556
11680740,17957,18088,18162
11680750,16247,16187,16065
11710510,16099,15825,15697
11710520,25007,24881,24762
11710531,13337,13277,13273
11710532,17173,17163,17047
11710540,21183,21004,20833
11710550,20563,20435,20315
11710561,16516,16514,16515
11710562,25897,26211,26209
11710566,19076,18968,18917
11710570,40935,41148,40959
11710580,26296,26321,26152
11710590,20902,20832,20889
11710600,34342,34178,34278
11710610,33019,32901,32823
11710620,27962,27966,27910
11710631,20186,26063,27207
11710632,34155,33999,33915
11710641,21427,21359,21380
11710642,29963,29926,30038
11710646,34672,34463,34113
11710647,28472,28408,28291
11710650,29647,29675,29680
11710670,36853,36817,36853
11710680,36146,36262,36145
